scenario_id,scenario_type,account_id,employee_id,description,related_event_ids,related_transaction_ids,has_transactional_consequence
S11,suspicious,800057D41,EMP_0021,"Employee disables dual-authorization requirement on corporate account. Within 4 hours, a single $2.5M wire transfer is executed without secondary approval.",EVT_090011,SYN_S11_001,True
S12,suspicious,800058100,EMP_0022,"Employee enables multi-currency/forex on account with no international business justification. Within 12h, rapid forex conversions USD->EUR->CHF->GBP totaling $600K (layering).",EVT_090012,"SYN_S12_001,SYN_S12_002,SYN_S12_003,SYN_S12_004",True
S13,suspicious,800058470,EMP_0023,Employee adds two offshore entities as payees without customer request documentation. Immediate transfers of $200K to each payee within 2 hours.,EVT_090013,"SYN_S13_001,SYN_S13_002",True
S14,suspicious,8000588D0,EMP_0024,"Employee increases spending limit 40x (from $5K to $200K). Within 36h, burst of high-value purchases followed by cash-back refund requests (purchase-return laundering scheme).",EVT_090014,"SYN_S14_001,SYN_S14_002,SYN_S14_003,SYN_S14_004,SYN_S14_005,SYN_S14_006",True
S15,suspicious,800058920,EMP_0025,Employee excludes account from AML screening pipeline. Account immediately sends $500K in wire transfers to sanctioned jurisdictions that would have been flagged.,EVT_090015,"SYN_S15_001,SYN_S15_002,SYN_S15_003",True
S16,suspicious,800058B80;800058F40;800059230,EMP_0026,Employee bulk-downgrades risk rating on 3 related accounts within 30 minutes. All three accounts then execute coordinated transfers to the same destination within 6 hours.,EVT_090016;EVT_090017;EVT_090018,"SYN_S16_001,SYN_S16_002,SYN_S16_003",True
S17,suspicious,800059440,EMP_0027,"Employee grants API access to personal account without business justification. Automated bot-like transactions (100+ per hour) begin immediately, spreading funds across dozens of accounts.",EVT_090019,"SYN_S17_001,SYN_S17_002,SYN_S17_003,SYN_S17_004,SYN_S17_005,SYN_S17_006,SYN_S17_007,SYN_S17_008,SYN_S17_009,SYN_S17_010,SYN_S17_011,SYN_S17_012,SYN_S17_013,SYN_S17_014,SYN_S17_015,SYN_S17_016,SYN_S17_017,SYN_S17_018,SYN_S17_019,SYN_S17_020",True
S18,suspicious,800059840,EMP_0028,"Employee manually overrides risk model, downgrading account from high to low risk. Within 48h, $1.8M in high-value transactions bypass enhanced monitoring that would have applied.",EVT_090020,"SYN_S18_001,SYN_S18_002,SYN_S18_003,SYN_S18_004,SYN_S18_005,SYN_S18_006",True
L01,legitimate,800059C00,EMP_0029,"Authorized payroll limit increase for end-of-quarter bonus distribution. Multiple payments are tax withholding splits (federal, state, FICA). Approved by branch manager, documented.",EVT_090021,"SYN_L01_001,SYN_L01_002,SYN_L01_003,SYN_L01_004,SYN_L01_005",True
L02,legitimate,800059F50,EMP_0030,"Annual account review: customer's income verification shows salary increase, limit adjusted accordingly. Single large purchase (new vehicle) follows. Fully documented with income verification on file.",EVT_090022,SYN_L02_001,True
L03,legitimate,80005A2A0,EMP_0031,Month-end treasury sweep: corporate customer moves funds between subsidiaries as part of routine cash management. All recipient accounts belong to the same corporate group. Pre-authorized standing order.,EVT_090023,"SYN_L03_001,SYN_L03_002,SYN_L03_003,SYN_L03_004",True
L04,legitimate,80005A6B0,EMP_0032,Standard onboarding: new hire receives view-only access to assigned customer accounts. Approved by IT Security and line manager via standard ticketing system. No transactional access.,EVT_090024,,False
L05,legitimate,80005AB30,EMP_0033,"Scheduled KYC renewal: expired verification refreshed with new documentation (passport, utility bill). Risk downgrade from medium to low based on 5-year clean history. Compliance officer co-signed.",EVT_090025,,False
L06,legitimate,80005AD90,EMP_0034,Customer relocates between domestic cities. Address updated with verified documentation (new lease agreement). No change in transaction patterns. Customer-initiated via branch visit.,EVT_090026,,False
L07,legitimate,80005ADE0,EMP_0035,Customer requests temporary holiday spending limit increase via phone (recorded). Standard seasonal adjustment matching prior year pattern. Auto-reverts after 45 days.,EVT_090027,"SYN_L07_001,SYN_L07_002,SYN_L07_003",True
L08,legitimate,80005B110,EMP_0036,"Small business customer sets up batch payments for known, verified vendors (suppliers, utilities, rent). All payees pre-verified and documented. Consistent with business type.",EVT_090028,"SYN_L08_001,SYN_L08_002,SYN_L08_003,SYN_L08_004,SYN_L08_005",True
L09,legitimate,80005B3E0,EMP_0037,Scheduled system migration: legacy savings accounts batch-converted to new platform format. Performed during maintenance window. No changes to account capabilities or transaction behavior.,EVT_090029,,False
L10,legitimate,80005B5F0,EMP_0038,"Import/export business customer opens multi-currency account. Forex access enabled with documented trade finance needs (letters of credit, import invoices). Compliance pre-approved.",EVT_090030,"SYN_L10_001,SYN_L10_002",True
L11,legitimate,80005B9B0,EMP_0039,Sole proprietor requests removal of dual-authorization (previously set when they had a business partner who left). Board resolution and legal docs on file. Transaction amounts remain consistent with historical pattern.,EVT_090031,"SYN_L11_001,SYN_L11_002,SYN_L11_003",True
L12,legitimate,80005BD00;80005C050,EMP_0040,Year-end compliance: batch update of tax classifications for IRS reporting deadline. All changes are W-9 verifications. Compliance team directive with audit trail.,EVT_090032;EVT_090033,,False
L13,legitimate,80005C0A0,EMP_0041,"Year-end charitable donation: high-net-worth customer makes $300K donation to registered 501(c)(3). Wire limit increased with documentation (gift letter, charity registration). Consistent with customer's annual giving pattern.",EVT_090034,SYN_L13_001,True
L14,legitimate,80005C0A1,EMP_0042,Corporate procurement: new vendor additions for Q2 supply contracts. All vendors verified through standard vendor onboarding process. Purchase orders and contracts on file.,EVT_090035,"SYN_L14_001,SYN_L14_002,SYN_L14_003",True
L15,legitimate,80005C3D0,EMP_0043,Customer purchasing residential property: wire limit increased for closing escrow payment of $850K. Title company details verified. Single large wire to known escrow agent. Limit auto-reverts after transaction.,EVT_090036,SYN_L15_001,True
L16,legitimate,80005C790,EMP_0044,Annual risk review: customer originally rated high due to industry (cash-intensive business). 3-year clean record with consistent patterns. Downgraded to medium per policy. Risk committee approval documented.,EVT_090037,,False
L17,legitimate,80005CB50,EMP_0045,Business customer integrates accounting software (QuickBooks) via API. Fintech partner pre-vetted by IT Security. API access scoped to read-only + scheduled payments. Proper OAuth setup.,EVT_090038,"SYN_L17_001,SYN_L17_002,SYN_L17_003",True
L18,legitimate,80005CF10,EMP_0046,Annual CPI adjustment: spending limits for consumer accounts increased ~13% to match inflation. Bank-wide policy change applied systematically. No individual customer request needed.,EVT_090039,,False
